Area code,Name,Geography,"Total number of domestic abuse-related crimes
Apr 2015 to Mar 2016","Percentage of all crimes that were domestic abuse-related
Apr 2015 to Mar 2016","Total number of domestic abuse-related crimes
Apr 2016 to Mar 2017","Percentage of all crimes that were domestic abuse-related
Apr 2016 to Mar 2017","Total number of domestic abuse-related crimes
Apr 2017 to Mar 2018","Percentage of all crimes that were domestic abuse-related
Apr 2017 to Mar 2018","Total number of domestic abuse-related crimes
Apr 2018 to Mar 2019","Percentage of all crimes that were domestic abuse-related
Apr 2018 to Mar 2019","Total number of domestic abuse-related crimes
Apr 2019 to Mar 2020","Percentage of all crimes that were domestic abuse-related
Apr 2019 to Mar 2020","Total number of domestic abuse-related crimes
Apr 2020 to Mar 2021","Percentage of all crimes that were domestic abuse-related
Apr 2020 to Mar 2021","Total number of domestic abuse-related crimes
Apr 2021 to Mar 2022","Percentage of all crimes that were domestic abuse-related
Apr 2021 to Mar 2022","Total number of domestic abuse-related crimes
Apr 2022 to Mar 2023","Percentage of all crimes that were domestic abuse-related
Apr 2022 to Mar 2023","Total number of domestic abuse-related crimes
Apr 2023 to Mar 2024
[note 3][note 4]","Percentage of all crimes that were domestic abuse-related
Apr 2023 to Mar 2024
[note 3][note 4]"
E12000009,South West ,Region,36988,12.071683371246365,42406,12.3610669822568,49200,13.240969497327585,54636,14.411192175605741,61592,16.179043316083952,62812,18.845710719600596,68587,17.95866106683145,67444,16.911989648791106,71719,17.823300338726952
E23000036,Avon and Somerset,Police force area,13594,11.34970861789704,16892,12.068041693755225,17194,12.254468740200132,17296,12.573696722086117,19917,14.104325411438122,20212,16.600413942639378,22414,15.966206975153863,20614,14.513324180659696,22993,15.269624120069066
E23000035,Devon and Cornwall,Police force area,10613,13.769883488595376,11966,14.116842055589638,17181,16.63165638945626,20156,18.85588661770897,20881,20.87598976245701,20905,23.16343490304709,21669,21.432598439215454,21330,20.816254830776437,22713,21.057071868278573
E23000039,Dorset,Police force area,4961,11.928921804366643,5415,11.975584404095805,6097,12.224806512411277,6896,12.446530096561682,9059,16.636670829354294,9159,19.318709133094284,9477,18.42054112890686,8468,16.151982756976366,9472,18.640165305520025
E23000037,Gloucestershire,Police force area,3015,10.073841424705135,2727,8.680290297937356,3073,8.954223607913983,3683,10.33795542581261,5316,12.85113378136634,5322,14.342693903950844,7625,16.119825800177583,9614,16.690102946027118,10189,19.442430256077547
E23000038,Wiltshire,Police force area,4805,12.632104737367895,5406,12.966827372814276,5655,12.919808087731322,6605,15.135543894223057,6419,14.710330919424328,7214,19.617120791863815,7402,17.759543175220134,7418,16.759675560877522,6352,15.597681956585797
W92000004,Wales,Region,22572,12.18955042527339,27972,14.058047493403693,34907,15.025007962948616,41532,15.941778652940432,42564,16.340727431875244,42270,18.35001779869245,47354,17.677054247360797,45101,16.49785093735711,44344,16.857952061434354
W15000004,Dyfed-Powys,Police force area,2132,9.940320775829914,2641,11.296945846522371,3157,11.793051923795293,4395,14.464849921011059,5262,16.296571587847254,5355,16.628885507561407,5600,13.233765006144248,6029,13.483171195348318,6525,17.845909799524108
W15000002,Gwent,Police force area,4329,11.501368261643508,5220,12.720538064138806,6666,13.65507917323883,8421,14.398563734290844,8576,15.138302942578242,8679,18.10992404640681,9681,18.079444226567315,9332,15.963324723310354,8439,14.781146550365193
W15000001,North Wales,Police force area,4798,13.03804347826087,5763,14.594676729050066,9449,18.31911593640946,11327,18.930391911088826,10548,17.403355937237045,11808,21.477291329416687,14147,20.876866772917772,13010,20.5043341213554,11572,20.93342981186686
W15000003,South Wales,Police force area,11313,12.670235641967565,14348,15.091402486484212,15635,14.867961848248843,17389,15.551024423398529,18178,16.387058388699078,16428,17.24760624895011,17926,17.194049320429325,16730,15.671984337383256,17808,15.606130980027869
,British Transport Police,,518,1.1101823871064531,565,1.119787537656572,715,1.2029543886804517,826,1.2518565669424995,894,1.2631757425043095,556,1.5617977528089888,892,1.8012196599491135,865,1.3218417151851343,1004,1.261195623500446
