Offence,Number of recorded offences,Percentage
All offences,851062,15.754435309429926
Violence against the person,670168,33.269029333942285
Sexual offences,35681,18.889530051404762
Miscellaneous crimes,13481,11.767221814880765
Public order offences,34321,7.02451344586145
Criminal damage and arson,51139,10.295005797848354
Other offence types,46272,2.2046096122922996
