Offence,Female victims,Male victims
All offences,72.49410348264598,27.505896517354017
Violence against the person,71.79009918729129,28.209900812708714
Sexual offences,92.05511846832508,7.944881531674929
Miscellaneous crimes,77.60487144790257,22.39512855209743
Public order offences,73.55213548426973,26.447864515730267
Criminal damage and arson,73.22040411156297,26.77959588843703
Other offences,64.46682379830013,35.53317620169988
